country,code,percent_emissions,percent_gdp,score,rounded_score
Afghanistan,AFG,0.030800765973514575,0.024958918343634118,1.2340585256720649,1.0
Albania,ALB,0.01356636189551474,0.0161002004894932,0.8426206806783546,1.0
Algeria,DZA,0.4313455781212072,0.207663782447466,2.077134361309861,2.0
Angola,AGO,0.08328613426113224,0.1508034610630408,0.5522826444037375,1.0
Antigua and Barbuda,ATG,0.001672195700838795,0.0018666066143386898,0.8958479456750604,1.0
Argentina,ARG,0.5663079537179383,0.7948084054388134,0.712508762920392,1.0
Armenia,ARM,0.013026943927502225,0.014249021713226204,0.9142342674241541,1.0
Aruba,ABW,0.0025892062464600695,0.0033381442014833126,0.7756424199138998,1.0
Australia,AUS,1.0849043881651697,1.6440049443757727,0.6599155263350542,1.0
Austria,AUT,0.19486474094452086,0.515451174289246,0.3780469434631112,0.0
Azerbaijan,AZE,0.08776330339563611,0.050513669854140915,1.7374168942595964,2.0
Bahamas,BHS,0.008091269520187717,0.015033498145859085,0.5382160187658269,1.0
Bahrain,BHR,0.09647490357903822,0.043798128763906055,2.202717474508705,2.0
Bangladesh,BGD,0.2280389459772905,0.30902348578491967,0.7379340291825119,1.0
Barbados,BRB,0.008549774792998354,0.005776885043263288,1.4799973911491748,1.0
Belarus,BLR,0.16813658062950076,0.06764721291594561,2.4854916171996213,2.0
Belgium,BEL,0.2810907031313213,0.6118665018541409,0.4593987451176544,0.0
Belize,BLZ,0.0011867195296275319,0.0023023668726823237,0.5154345919879265,1.0
Benin,BEN,0.019149337864444265,0.011429786061804698,1.675389002112319,2.0
Bermuda,BMU,0.001159748631226906,0.006889629171817058,0.16833251867473673,0.0
Bhutan,BTN,0.00391078026809073,0.003124855266996292,1.2515076488166101,1.0
Bolivia,BOL,0.05518245812768023,0.046364205510506795,1.1901952706851646,1.0
Bosnia and Herzegovina,BIH,0.0690994417024031,0.022348724509270706,3.0918740652845424,3.0
Botswana,BWA,0.021333980634894948,0.021516150584672437,0.991533339150951,1.0
Brazil,BRA,1.329098902284435,2.533992583436341,0.5245078107063942,1.0
Brunei,BRN,0.01809747282681986,0.014991457354758961,1.2071856923953366,1.0
Bulgaria,BGR,0.1336947433719017,0.07196659305686032,1.8577333967479939,2.0
Burkina Faso,BFA,0.009170105456212746,0.015232217855377008,0.6020203717724322,1.0
Burundi,BDI,0.0007821560536181459,0.003921404383189123,0.1994581474359575,0.0
Cambodia,KHM,0.028481268711060766,0.027413103228677377,1.0389655076068134,1.0
Cameroon,CMR,0.026350567737411332,0.043167839692212606,0.6104212748493162,1.0
Canada,CAN,1.6649135582706258,2.03955500618047,0.8163121628126886,1.0
Cape Verde,CPV,0.0025892062464600695,0.002189414039555006,1.1826023765638776,1.0
Cayman Islands,CYM,0.0013215740216306604,0.004413566317676143,0.2994344995650826,0.0
Central African Republic,CAF,0.0013215740216306604,0.0026792356489493204,0.4932653169753561,0.0
Chad,TCD,0.002481322652857567,0.012330892577255871,0.20122814608200593,0.0
Chile,CHL,0.24360115435445154,0.3436341161928307,0.7088968844343572,1.0
China,CHN,29.336839550125415,14.956736711990112,1.9614465451282197,2.0
Colombia,COL,0.2021468835126898,0.3856613102595797,0.5241565024415579,1.0
Comoros,COM,0.0005663888664131403,0.0013203020148331273,0.4289843233214531,0.0
Republic of the Congo,COG,0.014860965018744773,0.010755667243510507,1.3816869453367686,1.0
Costa Rica,CRI,0.02195431129810934,0.0719092091619283,0.30530597616046173,0.0
Cote d'Ivoire,CIV,0.03371362300078216,0.04703783684672435,0.7167341285408181,1.0
Croatia,HRV,0.04711815950589314,0.06823413779851668,0.6905364532490278,1.0
Cuba,CUB,0.08436497019715727,0.11971693448702102,0.7047037293316561,1.0
Curacao,CUW,0.020282115597270542,0.003852422882571075,5.264768748267435,5.0
Cyprus,CYP,0.018960541575639884,0.027369425215080345,0.6927636012316681,1.0
Czechia,CZE,0.29603258084526796,0.2669962917181706,1.1087516569621378,1.0
Democratic Republic of the Congo,COD,0.009439814440219003,0.04699538396291718,0.2008668435961224,0.0
Denmark,DNK,0.09054130593090057,0.4079110012360939,0.2219633833275714,0.0
Djibouti,DJI,0.0027240607384631985,0.0022801908961681086,1.1946634569241634,1.0
Dominica,DMA,0.0003236507808075087,0.0006140003071693448,0.5271182718125969,1.0
Dominican Republic,DOM,0.062329746203846056,0.0938586610815822,0.6640809221609167,1.0
Ecuador,ECU,0.10656201958087223,0.12855377008652658,0.8289295561627466,1.0
Egypt,EGY,0.6976562289289856,0.2904820766378245,2.401718677461912,2.0
El Salvador,SLV,0.02119912614289182,0.030813312731767614,0.6879859470947487,1.0
Equatorial Guinea,GNQ,0.006661811904954555,0.015191487922126082,0.4385226739542587,0.0
Eritrea,ERI,0.001995846481646304,0.0032234114177997525,0.6191721201411627,1.0
Estonia,EST,0.04825093723871942,0.03289450135846724,1.4668389927211753,1.0
Ethiopia,ETH,0.04018663861693233,0.10100905652781211,0.397851836244676,0.0
Faroe Islands,FRO,0.0,0.0033240510148331275,0.0,0.0
